publication_number,country_code,filing_date,grant_date,assignee_name,cpc_codes,title_tr,forward_citations,total_citations_count
TR-2026002474-A2,TR,20260218,0,ERTUERK ARGE SANAYI VE TICARET ANONIM SIRKETI,,Bali̇sti̇k panel koruma si̇stemi̇ ve mermi̇ çeki̇rdeği̇ durdurma duvari,,0
TR-2026002431-U5,TR,20260218,0,AYANA HASAN; HALCI SENER; HALCI SULTAN BOZAT; KARA BATTAL; AYDIN MUEJGAN,,Ni̇ti̇nol aktüatörlü adapti̇f kavrama kartuşlu ayakkabi tabani,,0
TR-2026002404-U5,TR,20260217,0,CELEN FAHRI ADEM,,Yeni̇ nesi̇l ayarlanabi̇li̇r langirt masasi,,0
TR-2026002393-A2,TR,20260217,0,KASTAMONU UENIVERSITESI REKTOERLUEGUE,,Bölgesel Ürünlerle Zenginleştirilmiş Fonksiyonel ve Glütensiz Karadeniz Kıtırı Üretimi ve Yöntemi,,0
TR-2026002368-A2,TR,20260217,0,TUERKIYE GARANTI BANKASI ANONIM SIRKETI,,Temi̇natli anlik kredi̇ si̇stemi̇,,0
TR-2026002342-A2,TR,20260217,0,DINLER YAVUZ SELIM,,Elektromanyeti̇k radyasyon maruzi̇yeti̇ni̇ engelleyen bal mumu i̇çeren kumaş yapilanmasi ve üreti̇m yöntemi̇,,0
TR-2026002351-U5,TR,20260217,0,BOZDOGAN MUSTAFA,,Kapali yanma kabi̇nli̇ tüplü semaver,,0
TR-2026002371-A2,TR,20260217,0,TUERKIYE GARANTI BANKASI ANONIM SIRKETI,,Kuyruk akişi opti̇mi̇zasyonu ve duygu farkindaliği i̇le hi̇zmet önceli̇klendi̇rme si̇stemi̇,,0
TR-2026002396-U5,TR,20260217,0,KASTAMONU UENIVERSITESI REKTOERLUEGUE,,Çarpışma ve Düşmeyi Algılayan Motorsiklet Hava Yastığı Tasarımı,,0
TR-2026002377-U5,TR,20260217,0,PIMTAS PLASTIK INSAAT MALZEMELERI SANAYI VE TICARET ANONIM SIRKETI,,Boru di̇ş formlu rakor,,0
TR-2026002376-U5,TR,20260217,0,PIMTAS PLASTIK INSAAT MALZEMELERI SANAYI VE TICARET ANONIM SIRKETI,,Et kalinliği kademeli̇ olarak azaltilmiş sürdürülebi̇li̇r pvc ek parça gövdesi̇,,0
TR-2026002397-U5,TR,20260217,0,TOPDEMIR SELCUK; EKEN IBRAHIM; SEN BILAL; HURATA NURAY; OEZKILIC ABDURRAHIM; BEYSUN HASAN,,Spor performans ölçümüne yöneli̇k sensörlü manken si̇stemi̇,,0
TR-2026002369-A2,TR,20260217,0,TUERKIYE GARANTI BANKASI ANONIM SIRKETI,,Bankacilikta müşteri̇ ve operasyonel i̇çgörüleri̇ üretken yapay zeka i̇le kullanma si̇stemi̇,,0
TR-2026002403-A2,TR,20260217,0,SAVEMA MARKALAMA VE KODLAMA MAKINALARI SANAYI TICARET LTD SIRKETI,,Baski ve uygulama i̇şlevli̇ eti̇ket maki̇nesi̇,,0
TR-2026002418-A2,TR,20260217,0,OENER YAKUP,,"Yazilim kontrollü, modüler akilli boyun tasmasi",,0
TR-2026002367-A2,TR,20260217,0,TUERKIYE GARANTI BANKASI ANONIM SIRKETI,,Kampanya aboneli̇k ve katilim si̇stemi̇,,0
TR-2026002370-U5,TR,20260217,0,YOZGAT SORGUN IMAM HATIP ORTAOKULU AKSEMSETTIN; ERKUS ERCAN,,Kulp Halkası İçerisinde Geri Sarımlı Ölçü Bandı İçeren Makas,,0
TR-2026002299-A2,TR,20260216,0,TURKCELL TECHNOLOGY RESEARCH AND DEVELOPMENT CO,,Mesaj i̇çeri̇ği̇ni̇n değerlendi̇ri̇lmesi̇ni̇ ve geri̇ çeki̇lmesi̇ni̇ sağlayan bi̇r si̇stem,,0
TR-2026002335-U5,TR,20260216,0,TEZCAN RAMAZAN,,Çöp Kutusu,,0
TR-2026002325-A2,TR,20260216,0,DEBAK DENIZLI BAGALIT KALIP SANAYI VE TICARET ANONIM SIRKETI,,Si̇li̇ndi̇ri̇k parçalarin çaplarinin havali mastar i̇le ölçümünde kullanilan otomasyon si̇stemi̇,,0
TR-2026002318-U5,TR,20260216,0,TEK FURKAN,,"Akim algilamali, elektri̇ksel olarak i̇zole edi̇lmi̇ş kontrol üni̇tesi̇ne sahi̇p gi̇der açma maki̇nasi",,0
