defense_contractor,civilian_sector,year,citations_received,defense_rd_lag2_musd,log_defense_rd_lag2,jaffe_proximity,rd_x_jaffe_interaction,log_civilian_patent_stock
ASELSAN,Otomotiv_Otonom,2010,0,85.544,4.449030863454356,0.332,1.4770782466668462,7.00669522683704
ASELSAN,Otomotiv_Otonom,2011,1,100.64,4.611549792952131,0.332,1.5310345312601075,7.00669522683704
ASELSAN,Otomotiv_Otonom,2012,2,118.4,4.774068722449905,0.332,1.5849908158533685,7.00669522683704
ASELSAN,Otomotiv_Otonom,2013,3,132.1,4.883559211528279,0.332,1.6213416582273887,7.00669522683704
ASELSAN,Otomotiv_Otonom,2014,3,154.6,5.040841136153322,0.332,1.673559257202903,7.00669522683704
ASELSAN,Otomotiv_Otonom,2015,1,182.3,5.205653681684617,0.332,1.728277022319293,7.00669522683704
ASELSAN,Otomotiv_Otonom,2016,14,224.5,5.413875707182309,0.332,1.7974067347845268,7.00669522683704
ASELSAN,Otomotiv_Otonom,2017,4,268.0,5.5909869805108565,0.332,1.8562076775296044,7.00669522683704
ASELSAN,Otomotiv_Otonom,2018,3,312.4,5.744284417965531,0.332,1.9071024267645564,7.00669522683704
ASELSAN,Otomotiv_Otonom,2019,5,358.9,5.883043798153562,0.332,1.9531705409869826,7.00669522683704
ASELSAN,Otomotiv_Otonom,2020,7,412.7,6.022720936758536,0.332,1.999543351003834,7.00669522683704
ASELSAN,Otomotiv_Otonom,2021,7,468.2,6.148895555056811,0.332,2.041433324278861,7.00669522683704
ASELSAN,Otomotiv_Otonom,2022,0,508.4,6.231268539315299,0.332,2.0687811550526796,7.00669522683704
ASELSAN,Otomotiv_Otonom,2023,11,544.1,6.29913305349188,0.332,2.091312173759304,7.00669522683704
ASELSAN,Otomotiv_Otonom,2024,5,592.6,6.384519635139465,0.332,2.1196605188663025,7.00669522683704
ASELSAN,Telekomunikasyon,2010,10,85.544,4.449030863454356,0.476,2.117738691004273,9.020026965252676
ASELSAN,Telekomunikasyon,2011,17,100.64,4.611549792952131,0.476,2.195097701445214,9.020026965252676
ASELSAN,Telekomunikasyon,2012,9,118.4,4.774068722449905,0.476,2.2724567118861545,9.020026965252676
ASELSAN,Telekomunikasyon,2013,12,132.1,4.883559211528279,0.476,2.324574184687461,9.020026965252676
ASELSAN,Telekomunikasyon,2014,16,154.6,5.040841136153322,0.476,2.399440380808981,9.020026965252676
ASELSAN,Telekomunikasyon,2015,15,182.3,5.205653681684617,0.476,2.4778911524818774,9.020026965252676
ASELSAN,Telekomunikasyon,2016,22,224.5,5.413875707182309,0.476,2.577004836618779,9.020026965252676
ASELSAN,Telekomunikasyon,2017,9,268.0,5.5909869805108565,0.476,2.6613098027231676,9.020026965252676
ASELSAN,Telekomunikasyon,2018,10,312.4,5.744284417965531,0.476,2.7342793829515926,9.020026965252676
ASELSAN,Telekomunikasyon,2019,13,358.9,5.883043798153562,0.476,2.800328847921095,9.020026965252676
ASELSAN,Telekomunikasyon,2020,42,412.7,6.022720936758536,0.476,2.866815165897063,9.020026965252676
ASELSAN,Telekomunikasyon,2021,8,468.2,6.148895555056811,0.476,2.9268742842070417,9.020026965252676
ASELSAN,Telekomunikasyon,2022,17,508.4,6.231268539315299,0.476,2.966083824714082,9.020026965252676
ASELSAN,Telekomunikasyon,2023,19,544.1,6.29913305349188,0.476,2.9983873334621345,9.020026965252676
ASELSAN,Telekomunikasyon,2024,32,592.6,6.384519635139465,0.476,3.039031346326385,9.020026965252676
ASELSAN,Tuketici_Elektronigi,2010,3,85.544,4.449030863454356,0.1,0.44490308634543557,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2011,0,100.64,4.611549792952131,0.1,0.4611549792952131,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2012,0,118.4,4.774068722449905,0.1,0.4774068722449905,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2013,0,132.1,4.883559211528279,0.1,0.48835592115282794,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2014,1,154.6,5.040841136153322,0.1,0.5040841136153322,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2015,4,182.3,5.205653681684617,0.1,0.5205653681684618,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2016,1,224.5,5.413875707182309,0.1,0.541387570718231,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2017,2,268.0,5.5909869805108565,0.1,0.5590986980510857,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2018,4,312.4,5.744284417965531,0.1,0.5744284417965532,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2019,1,358.9,5.883043798153562,0.1,0.5883043798153562,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2020,10,412.7,6.022720936758536,0.1,0.6022720936758537,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2021,8,468.2,6.148895555056811,0.1,0.6148895555056811,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2022,2,508.4,6.231268539315299,0.1,0.62312685393153,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2023,2,544.1,6.29913305349188,0.1,0.629913305349188,8.172729104865471
ASELSAN,Tuketici_Elektronigi,2024,6,592.6,6.384519635139465,0.1,0.6384519635139465,8.172729104865471
ASELSAN,Yazilim_Bilisim,2010,3,85.544,4.449030863454356,0.285,1.2679737960844912,7.52294091807237
ASELSAN,Yazilim_Bilisim,2011,4,100.64,4.611549792952131,0.285,1.3142916909913571,7.52294091807237
ASELSAN,Yazilim_Bilisim,2012,2,118.4,4.774068722449905,0.285,1.3606095858982228,7.52294091807237
ASELSAN,Yazilim_Bilisim,2013,2,132.1,4.883559211528279,0.285,1.3918143752855594,7.52294091807237
ASELSAN,Yazilim_Bilisim,2014,3,154.6,5.040841136153322,0.285,1.4366397238036965,7.52294091807237
ASELSAN,Yazilim_Bilisim,2015,5,182.3,5.205653681684617,0.285,1.4836112992801158,7.52294091807237
ASELSAN,Yazilim_Bilisim,2016,8,224.5,5.413875707182309,0.285,1.542954576546958,7.52294091807237
ASELSAN,Yazilim_Bilisim,2017,5,268.0,5.5909869805108565,0.285,1.593431289445594,7.52294091807237
ASELSAN,Yazilim_Bilisim,2018,8,312.4,5.744284417965531,0.285,1.6371210591201761,7.52294091807237
ASELSAN,Yazilim_Bilisim,2019,4,358.9,5.883043798153562,0.285,1.6766674824737648,7.52294091807237
ASELSAN,Yazilim_Bilisim,2020,6,412.7,6.022720936758536,0.285,1.7164754669761826,7.52294091807237
ASELSAN,Yazilim_Bilisim,2021,12,468.2,6.148895555056811,0.285,1.752435233191191,7.52294091807237
ASELSAN,Yazilim_Bilisim,2022,17,508.4,6.231268539315299,0.285,1.77591153370486,7.52294091807237
ASELSAN,Yazilim_Bilisim,2023,6,544.1,6.29913305349188,0.285,1.7952529202451855,7.52294091807237
ASELSAN,Yazilim_Bilisim,2024,8,592.6,6.384519635139465,0.285,1.8195880960147472,7.52294091807237
ASELSAN,Ileri_Malzeme_Kimya,2010,1,85.544,4.449030863454356,0.05,0.22245154317271779,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2011,0,100.64,4.611549792952131,0.05,0.23057748964760655,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2012,0,118.4,4.774068722449905,0.05,0.23870343612249526,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2013,0,132.1,4.883559211528279,0.05,0.24417796057641397,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2014,0,154.6,5.040841136153322,0.05,0.2520420568076661,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2015,1,182.3,5.205653681684617,0.05,0.2602826840842309,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2016,2,224.5,5.413875707182309,0.05,0.2706937853591155,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2017,3,268.0,5.5909869805108565,0.05,0.27954934902554285,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2018,3,312.4,5.744284417965531,0.05,0.2872142208982766,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2019,4,358.9,5.883043798153562,0.05,0.2941521899076781,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2020,1,412.7,6.022720936758536,0.05,0.30113604683792683,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2021,1,468.2,6.148895555056811,0.05,0.30744477775284057,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2022,4,508.4,6.231268539315299,0.05,0.311563426965765,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2023,2,544.1,6.29913305349188,0.05,0.314956652674594,6.824373670043086
ASELSAN,Ileri_Malzeme_Kimya,2024,4,592.6,6.384519635139465,0.05,0.31922598175697325,6.824373670043086
TUSAS,Otomotiv_Otonom,2010,2,59.46174999999999,4.0853332486874745,0.091,0.3717653256305602,7.00669522683704
TUSAS,Otomotiv_Otonom,2011,2,69.955,4.24785217818525,0.091,0.3865545482148577,7.00669522683704
TUSAS,Otomotiv_Otonom,2012,2,82.3,4.410371107683024,0.091,0.4013437707991552,7.00669522683704
TUSAS,Otomotiv_Otonom,2013,1,94.7,4.550714000192032,0.091,0.41411497401747493,7.00669522683704
TUSAS,Otomotiv_Otonom,2014,3,118.2,4.772378104971998,0.091,0.4342864075524518,7.00669522683704
TUSAS,Otomotiv_Otonom,2015,2,148.6,5.001258132283659,0.091,0.4551144900378129,7.00669522683704
TUSAS,Otomotiv_Otonom,2016,11,192.1,5.258016069774511,0.091,0.4784794623494805,7.00669522683704
TUSAS,Otomotiv_Otonom,2017,1,238.4,5.473949935191195,0.091,0.49812944410239873,7.00669522683704
TUSAS,Otomotiv_Otonom,2018,6,302.7,5.712742216027673,0.091,0.5198595416585182,7.00669522683704
TUSAS,Otomotiv_Otonom,2019,9,376.1,5.929855065476291,0.091,0.5396168109583425,7.00669522683704
TUSAS,Otomotiv_Otonom,2020,5,455.3,6.120956542340736,0.091,0.557007045353007,7.00669522683704
TUSAS,Otomotiv_Otonom,2021,4,528.0,6.269096283706261,0.091,0.5704877618172698,7.00669522683704
TUSAS,Otomotiv_Otonom,2022,2,576.4,6.356801864125367,0.091,0.5784689696354084,7.00669522683704
TUSAS,Otomotiv_Otonom,2023,0,628.9,6.443972261549457,0.091,0.5864014758010005,7.00669522683704
TUSAS,Otomotiv_Otonom,2024,3,705.2,6.558481450523715,0.091,0.596821811997658,7.00669522683704
TUSAS,Telekomunikasyon,2010,0,59.46174999999999,4.0853332486874745,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2011,2,69.955,4.24785217818525,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2012,0,82.3,4.410371107683024,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2013,0,94.7,4.550714000192032,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2014,3,118.2,4.772378104971998,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2015,9,148.6,5.001258132283659,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2016,0,192.1,5.258016069774511,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2017,0,238.4,5.473949935191195,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2018,4,302.7,5.712742216027673,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2019,8,376.1,5.929855065476291,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2020,4,455.3,6.120956542340736,0.0,0.0,9.020026965252676
