firm_category,firm_name,publication_number,title,filing_date,filing_year,publication_date,priority_date,inventor,assignee_raw
SAVUNMA,ASELSAN,TR201514432T1,Veri̇ni̇n i̇leri̇ beslemeli̇ si̇ni̇r aği mi̇mari̇si̇ kullanilarak yalanci-yi̇ …,2013-06-21,2013,2016-11-21,2013-06-21,Ticaret,As
SAVUNMA,ASELSAN,TR201804106T1,Ssb modülasyon i̇le paralel manyeti̇k rezonans görüntüleme i̇çi̇n tamamen …,2016-01-28,2016,2018-04-24,2016-01-28,Ticaret,As
SAVUNMA,ASELSAN,TR201900150A2,Tork Yükleme Test Cihazı,2019-01-07,2019,2020-07-21,2019-01-07,Ticaret,As
SAVUNMA,ASELSAN,TR201614118A1,Bir deniz aracı tanıma yöntemi.,2016-10-07,2016,2018-04-24,2016-10-07,Ticaret,As
SAVUNMA,ASELSAN,TR201716365A2,Ku-band mi̇nyatür dalga kilavuzu alçak geçi̇ren fi̇ltre,2017-10-24,2017,2017-12-21,2017-10-24,Ticaret,As
SAVUNMA,ASELSAN,TR202008577A1,Opti̇k büyütmesi̇ artirilmiş bi̇r si̇lah üstü termal görüntüleme ci̇hazi,2020-06-03,2020,2021-12-21,2020-06-03,A,S
SAVUNMA,ASELSAN,TR201000297A2,Bir kızılötesi mercek.,2010-01-14,2010,2011-08-22,2010-01-14,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR202015881A2,Manyetik parçacık görüntüleme için süper-çözünürlüklü bir kalibrasyon yöntemi,2020-10-06,2020,2022-04-21,2020-10-06,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR201723043A2,Konfigüre Edilebilir Elektro-Mekanik Kablaj Tahtası,2017-12-29,2017,2019-07-22,2017-12-29,Anonim,Sirketi
SAVUNMA,ASELSAN,TR201920632A2,Homojen soğutma sağlayan soğuk plaka,2019-12-18,2019,2021-06-21,2019-12-18,Anonim,Sirketi
SAVUNMA,ASELSAN,TR202006105A1,Ateşli̇ si̇lahlar i̇çi̇n iska mesafesi̇ ve si̇lah kali̇bre kesti̇ri̇mi̇ne …,2020-04-17,2020,2021-10-21,2020-04-17,A,S
SAVUNMA,ASELSAN,TR202022238A1,Karayolu ve demi̇ryolu taşitlari i̇çi̇n dağitik akusti̇k algilamali tespi̇t ve …,2020-12-29,2020,2022-07-21,2020-12-29,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202022117A2,Yüksek performansli das si̇stemleri̇ i̇çi̇n mekana ve zamana bağli gözeti̇msi̇z …,2020-12-29,2020,2022-07-21,2020-12-29,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR2021014018A1,Dağınık Güç Yükselteçler için Yüksek Güçlü ve Geniş Bantlı Dağınık Şok İndüktör,2021-09-07,2021,2023-03-21,2021-09-07,Ticaret,As
SAVUNMA,ASELSAN,TR2022004071A2,Akusti̇k si̇nyal tabanli i̇nsansiz hava araci (i̇ha) tespi̇t yöntemi̇,2022-03-17,2022,2023-09-21,2022-03-17,Ticaret,As
SAVUNMA,ASELSAN,TR2022018136A1,Radar hedefleri̇nde i̇ndüklenen akim dağilimi temelli̇ saçilim merkezi̇ tespi̇ …,2022-11-29,2022,2024-06-21,2022-11-29,Ticaret,As
SAVUNMA,ASELSAN,TR202010217A1,Yapay Sinir Ağlarındaki Doğrusal Olmayan Aktivasyon Fonksiyonlarının Düşük …,2020-06-29,2020,2022-01-21,2020-06-29,Ticaret,As
SAVUNMA,ASELSAN,TR201800406A2,"Bi̇r manyeti̇k rezonans görüntüleme ci̇hazi i̇çi̇n çok kanalli, tümleşi̇k mrg …",2018-01-11,2018,2019-07-22,2018-01-11,Ticaret,As
SAVUNMA,ASELSAN,TR201704622A2,Bir temizleme yöntemi ve sistemi.,2017-03-28,2017,2018-10-22,2017-03-28,Ticaret,As
SAVUNMA,ASELSAN,TR201706044A2,Modüler anten şasi̇si̇,2017-04-24,2017,2018-11-21,2017-04-24,Ticaret,As
SAVUNMA,ASELSAN,TR201921786A1,Isil püskürtme yolu i̇le çok katmanli serami̇k yapilar üretmek i̇çi̇n bi̇r …,2019-12-26,2019,2021-07-26,2019-12-26,Ticaret,As
SAVUNMA,ASELSAN,TR201907601A2,YIG Filtrelerinde Oluşan Merkez Frekans Kaymasını ve Doğrusallık Hatalarını …,2019-05-20,2019,2020-12-21,2019-05-20,Ticaret,As
SAVUNMA,ASELSAN,TR201717373A2,Yüksek hi̇drostati̇k basinç dayanimli koni̇k profi̇lli̇ kovuk yapisina sahi̇p …,2017-11-06,2017,2017-12-21,2017-11-06,Ticaret,As
SAVUNMA,ASELSAN,TR201800347A2,Boyutu Küçültülmüş Faz Kaydırıcı,2018-01-10,2018,2019-07-22,2018-01-10,Ticaret,As
SAVUNMA,ASELSAN,TR201906925A2,İnsansiz hava araçlari i̇çi̇n elektri̇k tahri̇kli̇ mobi̇l güç ve yer platformu,2019-05-09,2019,2020-11-23,2019-05-09,Ticaret,As
SAVUNMA,ASELSAN,TR201510628A1,Hareketli̇ bi̇r platform üzeri̇nde yer alan ptz kamera i̇le gerçek zamanli …,2015-08-27,2015,2017-03-21,2015-08-27,Ticaret,As
SAVUNMA,ASELSAN,TR201503470A2,Bi̇r elastomeri̇k radar soğurucu malzeme ve üreti̇m yöntemi̇,2015-03-23,2015,2015-04-21,2015-03-23,Ticaret,As
SAVUNMA,ASELSAN,TR201921447A1,Manyetik modüler fisktür sistemi ve yöntemi,2019-12-25,2019,2021-07-26,2019-12-25,Ticaret,As
SAVUNMA,ASELSAN,TR2021009906A1,Sabi̇t odakli si̇stemlerde zaman i̇çeri̇si̇nde görülebi̇len ve elektroopti̇k …,2021-06-17,2021,2023-01-23,2021-06-17,Ticaret,As
SAVUNMA,ASELSAN,TR201501912A2,Yanca ve yükseliş açılarında yön bulabilen geniş bantlı anten dizi platformu.,2015-02-17,2015,2016-09-21,2015-02-17,Ticaret,As
SAVUNMA,ASELSAN,TR201721292A1,Bi̇r katlanabi̇len anten si̇stemi̇,2017-12-22,2017,2019-07-22,2017-12-22,Ticaret,As
SAVUNMA,ASELSAN,TR2021005323A1,Araç i̇çi̇ 35mm mühi̇mmat depolama dolabi,2021-03-24,2021,2022-10-21,2021-03-24,Anonim,Sirketi
SAVUNMA,ASELSAN,TR202006052A1,Radyometriye dayalı kızılötesi imge görselleştirme yöntemi,2020-04-16,2020,2021-10-21,2020-04-16,A,S
SAVUNMA,ASELSAN,TR202007583A2,Çoklu sivi dolaşim kanallarina sahi̇p soğutma plakasi,2020-05-14,2020,2021-11-22,2020-05-14,A,S
SAVUNMA,ASELSAN,TR202008446A1,MÜHİMMAT YÜKLEME SİSTEMİ ve YÖNTEMİ,2020-06-01,2020,2021-12-21,2020-06-01,A,S
SAVUNMA,ASELSAN,TR202006905A1,Çi̇ft eği̇k polari̇ze anten elemani,2020-05-04,2020,2021-11-22,2020-05-04,A,S
SAVUNMA,ASELSAN,TR202101270A2,ELEKTROMANYETİK GİRİŞİM (EMI) ve ELEKTROMANYETİK UYUMLULUK (EMC) GEÇİŞ PANELİ,2021-01-27,2021,2022-08-22,2021-01-27,A,S
SAVUNMA,ASELSAN,TR202002921A2,Yüksek Çözünürlüklü Geri Beslemeli Tam Sayısal DGM Sinyali Üretim Yöntemi,2020-02-26,2020,2021-09-21,2020-02-26,A,S
SAVUNMA,ASELSAN,TR202015051A1,Farklı silah türlerinin aynı şaseye montaj edilmesini sağlayan bir arayüz …,2020-09-22,2020,2022-04-21,2020-09-22,A,S
SAVUNMA,ASELSAN,TR201905460A1,Çok Görevli Öğrenme Temelli Çok Katmanlı Algılayıcı ve SMOTE Aşırı Örneklemesi …,2019-04-11,2019,2021-12-21,2019-04-11,A,S
SAVUNMA,ASELSAN,TR201906994A1,Atalet ölçüm bi̇ri̇mi̇ (imu) dengeleme ci̇hazi ve yöntemi̇,2019-05-09,2019,2020-11-23,2019-05-09,Anonim,Sirketi
SAVUNMA,ASELSAN,TR202005872A2,Darbeli̇ kizilötesi̇ çakar,2020-04-14,2020,2021-10-21,2020-04-14,A,S
SAVUNMA,ASELSAN,TR201918486A1,Modüler mühi̇mmat beslemeli̇ alttan yüklemeli̇ bi̇r si̇lah si̇stemi̇,2019-11-26,2019,2021-10-21,2019-11-26,A,S
SAVUNMA,ASELSAN,TR202004654A1,Entegre RF güç bölücü içeren huzme şekillendirici faz kaydırıcı,2020-03-25,2020,2021-10-21,2020-03-25,A,S
