civil_firm,year,patents,log_rd_lag2,jaffe_prox,rd_x_jaffe,post_2016
TURKCELL,2010,24,5.521460917862246,0.476,2.628215396902429,0
TURKCELL,2011,29,5.521460917862246,0.476,2.628215396902429,0
TURKCELL,2012,4,5.648974238161206,0.476,2.688911737364734,0
TURKCELL,2013,2,5.800304041646823,0.476,2.7609447238238873,0
TURKCELL,2014,14,6.001909804969521,0.476,2.8569090671654918,0
TURKCELL,2015,75,6.232251533594787,0.476,2.966551729991118,0
TURKCELL,2016,264,6.477895014039251,0.476,3.083478026682683,1
TURKCELL,2017,22,6.706617807930542,0.476,3.1923500765749377,1
TURKCELL,2018,133,6.937993462042747,0.476,3.3024848879323474,1
TURKCELL,2019,100,7.154380954443551,0.476,3.40548533431513,1
TURKCELL,2020,64,7.335242771124794,0.476,3.491575559055402,1
TURKCELL,2021,484,7.49041772636681,0.476,3.5654388377506017,1
TURKCELL,2022,1,7.593323814018532,0.476,3.614422135472821,1
TURKCELL,2023,39,7.68634594135955,0.476,3.6587006680871457,1
TURKCELL,2024,77,7.812459141604372,0.476,3.7187305514036813,1
TURK_TELEKOM,2010,0,5.521460917862246,0.442,2.4404857256951127,0
TURK_TELEKOM,2011,0,5.521460917862246,0.442,2.4404857256951127,0
TURK_TELEKOM,2012,0,5.648974238161206,0.442,2.496846613267253,0
TURK_TELEKOM,2013,0,5.800304041646823,0.442,2.5637343864078956,0
TURK_TELEKOM,2014,0,6.001909804969521,0.442,2.652844133796528,0
TURK_TELEKOM,2015,0,6.232251533594787,0.442,2.7546551778488957,0
TURK_TELEKOM,2016,0,6.477895014039251,0.442,2.863229596205349,1
TURK_TELEKOM,2017,0,6.706617807930542,0.442,2.9643250711052995,1
TURK_TELEKOM,2018,0,6.937993462042747,0.442,3.066593110222894,1
TURK_TELEKOM,2019,0,7.154380954443551,0.442,3.1622363818640493,1
TURK_TELEKOM,2020,0,7.335242771124794,0.442,3.242177304837159,1
TURK_TELEKOM,2021,1,7.49041772636681,0.442,3.31076463505413,1
TURK_TELEKOM,2022,1,7.593323814018532,0.442,3.3562491257961913,1
TURK_TELEKOM,2023,0,7.68634594135955,0.442,3.397364906080921,1
TURK_TELEKOM,2024,55,7.812459141604372,0.442,3.4531069405891324,1
BOSCH_TR,2010,3,5.521460917862246,0.355,1.9601186258410972,0
BOSCH_TR,2011,13,5.521460917862246,0.355,1.9601186258410972,0
BOSCH_TR,2012,0,5.648974238161206,0.355,2.005385854547228,0
BOSCH_TR,2013,1,5.800304041646823,0.355,2.0591079347846217,0
BOSCH_TR,2014,4,6.001909804969521,0.355,2.1306779807641796,0
BOSCH_TR,2015,21,6.232251533594787,0.355,2.212449294426149,0
BOSCH_TR,2016,22,6.477895014039251,0.355,2.2996527299839338,1
BOSCH_TR,2017,33,6.706617807930542,0.355,2.3808493218153424,1
BOSCH_TR,2018,13,6.937993462042747,0.355,2.462987679025175,1
BOSCH_TR,2019,22,7.154380954443551,0.355,2.5398052388274603,1
BOSCH_TR,2020,21,7.335242771124794,0.355,2.604011183749302,1
BOSCH_TR,2021,22,7.49041772636681,0.355,2.6590982928602176,1
BOSCH_TR,2022,20,7.593323814018532,0.355,2.695629953976579,1
BOSCH_TR,2023,26,7.68634594135955,0.355,2.72865280918264,1
BOSCH_TR,2024,14,7.812459141604372,0.355,2.773422995269552,1
KORDSA,2010,0,5.521460917862246,0.34,1.8772967120731638,0
KORDSA,2011,0,5.521460917862246,0.34,1.8772967120731638,0
KORDSA,2012,1,5.648974238161206,0.34,1.9206512409748102,0
KORDSA,2013,1,5.800304041646823,0.34,1.9721033741599199,0
KORDSA,2014,2,6.001909804969521,0.34,2.0406493336896374,0
KORDSA,2015,5,6.232251533594787,0.34,2.118965521422228,0
KORDSA,2016,15,6.477895014039251,0.34,2.2024843047733453,1
KORDSA,2017,16,6.706617807930542,0.34,2.2802500546963844,1
KORDSA,2018,0,6.937993462042747,0.34,2.358917777094534,1
KORDSA,2019,4,7.154380954443551,0.34,2.4324895245108076,1
KORDSA,2020,7,7.335242771124794,0.34,2.4939825421824304,1
KORDSA,2021,7,7.49041772636681,0.34,2.5467420269647154,1
KORDSA,2022,13,7.593323814018532,0.34,2.581730096766301,1
KORDSA,2023,8,7.68634594135955,0.34,2.613357620062247,1
KORDSA,2024,3,7.812459141604372,0.34,2.6562361081454866,1
FORD_OTOSAN,2010,39,5.521460917862246,0.332,1.8331250247302657,0
FORD_OTOSAN,2011,27,5.521460917862246,0.332,1.8331250247302657,0
FORD_OTOSAN,2012,12,5.648974238161206,0.332,1.8754594470695205,0
FORD_OTOSAN,2013,14,5.800304041646823,0.332,1.9257009418267452,0
FORD_OTOSAN,2014,22,6.001909804969521,0.332,1.992634055249881,0
FORD_OTOSAN,2015,68,6.232251533594787,0.332,2.0691075091534694,0
FORD_OTOSAN,2016,148,6.477895014039251,0.332,2.1506611446610315,1
FORD_OTOSAN,2017,202,6.706617807930542,0.332,2.2265971122329398,1
FORD_OTOSAN,2018,0,6.937993462042747,0.332,2.3034138293981923,1
FORD_OTOSAN,2019,4,7.154380954443551,0.332,2.375254476875259,1
FORD_OTOSAN,2020,5,7.335242771124794,0.332,2.4353006000134316,1
FORD_OTOSAN,2021,2,7.49041772636681,0.332,2.4868186851537812,1
FORD_OTOSAN,2022,1,7.593323814018532,0.332,2.520983506254153,1
FORD_OTOSAN,2023,1,7.68634594135955,0.332,2.551866852531371,1
FORD_OTOSAN,2024,9,7.812459141604372,0.332,2.593736435012652,1
OTOKAR,2010,8,5.521460917862246,0.315,1.7392601891266075,0
