firm_name,year,patents,citations,log_rd_lag2,jaffe_prox,rd_x_jaffe,post_2016
TURKCELL,2010,24,0,5.521460917862246,0.476,2.628215396902429,0
TURKCELL,2011,29,0,5.521460917862246,0.476,2.628215396902429,0
TURKCELL,2012,4,0,5.648974238161206,0.476,2.688911737364734,0
TURKCELL,2013,2,0,5.800304041646823,0.476,2.7609447238238873,0
TURKCELL,2014,14,0,6.001909804969521,0.476,2.8569090671654918,0
TURKCELL,2015,75,0,6.232251533594787,0.476,2.966551729991118,0
TURKCELL,2016,267,0,6.477895014039251,0.476,3.083478026682683,1
TURKCELL,2017,22,0,6.706617807930542,0.476,3.1923500765749377,1
TURKCELL,2018,343,0,6.937993462042747,0.476,3.3024848879323474,1
TURKCELL,2019,111,0,7.154380954443551,0.476,3.40548533431513,1
TURKCELL,2020,526,0,7.335242771124794,0.476,3.491575559055402,1
TURKCELL,2021,564,0,7.49041772636681,0.476,3.5654388377506017,1
TURKCELL,2022,255,0,7.593323814018532,0.476,3.614422135472821,1
TURKCELL,2023,552,0,7.68634594135955,0.476,3.6587006680871457,1
TURKCELL,2024,583,0,7.812459141604372,0.476,3.7187305514036813,1
TURK_TELEKOM,2010,0,0,5.521460917862246,0.442,2.4404857256951127,0
TURK_TELEKOM,2011,0,0,5.521460917862246,0.442,2.4404857256951127,0
TURK_TELEKOM,2012,0,0,5.648974238161206,0.442,2.496846613267253,0
TURK_TELEKOM,2013,0,0,5.800304041646823,0.442,2.5637343864078956,0
TURK_TELEKOM,2014,0,0,6.001909804969521,0.442,2.652844133796528,0
TURK_TELEKOM,2015,0,0,6.232251533594787,0.442,2.7546551778488957,0
TURK_TELEKOM,2016,1,0,6.477895014039251,0.442,2.863229596205349,1
TURK_TELEKOM,2017,0,0,6.706617807930542,0.442,2.9643250711052995,1
TURK_TELEKOM,2018,0,0,6.937993462042747,0.442,3.066593110222894,1
TURK_TELEKOM,2019,0,0,7.154380954443551,0.442,3.1622363818640493,1
TURK_TELEKOM,2020,4,0,7.335242771124794,0.442,3.242177304837159,1
TURK_TELEKOM,2021,105,0,7.49041772636681,0.442,3.31076463505413,1
TURK_TELEKOM,2022,132,0,7.593323814018532,0.442,3.3562491257961913,1
TURK_TELEKOM,2023,260,0,7.68634594135955,0.442,3.397364906080921,1
TURK_TELEKOM,2024,799,0,7.812459141604372,0.442,3.4531069405891324,1
VESTEL,2010,110,0,5.521460917862246,0.185,1.0214702698045155,0
VESTEL,2011,127,0,5.521460917862246,0.185,1.0214702698045155,0
VESTEL,2012,3,0,5.648974238161206,0.185,1.0450602340598232,0
VESTEL,2013,0,0,5.800304041646823,0.185,1.0730562477046621,0
VESTEL,2014,0,0,6.001909804969521,0.185,1.1103533139193613,0
VESTEL,2015,5,0,6.232251533594787,0.185,1.1529665337150354,0
VESTEL,2016,38,0,6.477895014039251,0.185,1.1984105775972613,1
