firm,year,patents,log_rd_lag2,jaffe,treated,post_2016,did_2016,post_2012,placebo_did
TURKCELL,2010,24,5.521460917862246,0.476,1,0,0,0,0
TURKCELL,2011,29,5.521460917862246,0.476,1,0,0,0,0
TURKCELL,2012,4,5.648974238161206,0.476,1,0,0,1,1
TURKCELL,2013,2,5.800304041646823,0.476,1,0,0,1,1
TURKCELL,2014,14,6.001909804969521,0.476,1,0,0,1,1
TURKCELL,2015,75,6.232251533594787,0.476,1,0,0,1,1
TURKCELL,2016,267,6.477895014039251,0.476,1,1,1,1,1
TURKCELL,2017,22,6.706617807930542,0.476,1,1,1,1,1
TURKCELL,2018,343,6.937993462042747,0.476,1,1,1,1,1
TURKCELL,2019,111,7.154380954443551,0.476,1,1,1,1,1
TURKCELL,2020,526,7.335242771124794,0.476,1,1,1,1,1
TURKCELL,2021,564,7.49041772636681,0.476,1,1,1,1,1
TURKCELL,2022,255,7.593323814018532,0.476,1,1,1,1,1
TURKCELL,2023,552,7.68634594135955,0.476,1,1,1,1,1
TURKCELL,2024,583,7.812459141604372,0.476,1,1,1,1,1
TURK_TELEKOM,2010,0,5.521460917862246,0.442,1,0,0,0,0
TURK_TELEKOM,2011,0,5.521460917862246,0.442,1,0,0,0,0
TURK_TELEKOM,2012,0,5.648974238161206,0.442,1,0,0,1,1
TURK_TELEKOM,2013,0,5.800304041646823,0.442,1,0,0,1,1
TURK_TELEKOM,2014,0,6.001909804969521,0.442,1,0,0,1,1
TURK_TELEKOM,2015,0,6.232251533594787,0.442,1,0,0,1,1
TURK_TELEKOM,2016,1,6.477895014039251,0.442,1,1,1,1,1
TURK_TELEKOM,2017,0,6.706617807930542,0.442,1,1,1,1,1
TURK_TELEKOM,2018,0,6.937993462042747,0.442,1,1,1,1,1
TURK_TELEKOM,2019,0,7.154380954443551,0.442,1,1,1,1,1
TURK_TELEKOM,2020,4,7.335242771124794,0.442,1,1,1,1,1
TURK_TELEKOM,2021,105,7.49041772636681,0.442,1,1,1,1,1
TURK_TELEKOM,2022,132,7.593323814018532,0.442,1,1,1,1,1
TURK_TELEKOM,2023,260,7.68634594135955,0.442,1,1,1,1,1
TURK_TELEKOM,2024,799,7.812459141604372,0.442,1,1,1,1,1
NETAS,2010,3,5.521460917862246,0.41,1,0,0,0,0
NETAS,2011,2,5.521460917862246,0.41,1,0,0,0,0
NETAS,2012,1,5.648974238161206,0.41,1,0,0,1,1
NETAS,2013,5,5.800304041646823,0.41,1,0,0,1,1
NETAS,2014,9,6.001909804969521,0.41,1,0,0,1,1
NETAS,2015,14,6.232251533594787,0.41,1,0,0,1,1
NETAS,2016,76,6.477895014039251,0.41,1,1,1,1,1
NETAS,2017,59,6.706617807930542,0.41,1,1,1,1,1
NETAS,2018,64,6.937993462042747,0.41,1,1,1,1,1
NETAS,2019,29,7.154380954443551,0.41,1,1,1,1,1
NETAS,2020,5,7.335242771124794,0.41,1,1,1,1,1
NETAS,2021,17,7.49041772636681,0.41,1,1,1,1,1
NETAS,2022,19,7.593323814018532,0.41,1,1,1,1,1
NETAS,2023,13,7.68634594135955,0.41,1,1,1,1,1
NETAS,2024,6,7.812459141604372,0.41,1,1,1,1,1
KAREL,2010,0,5.521460917862246,0.395,1,0,0,0,0
KAREL,2011,4,5.521460917862246,0.395,1,0,0,0,0
KAREL,2012,0,5.648974238161206,0.395,1,0,0,1,1
KAREL,2013,0,5.800304041646823,0.395,1,0,0,1,1
KAREL,2014,0,6.001909804969521,0.395,1,0,0,1,1
KAREL,2015,0,6.232251533594787,0.395,1,0,0,1,1
KAREL,2016,0,6.477895014039251,0.395,1,1,1,1,1
KAREL,2017,0,6.706617807930542,0.395,1,1,1,1,1
KAREL,2018,0,6.937993462042747,0.395,1,1,1,1,1
KAREL,2019,0,7.154380954443551,0.395,1,1,1,1,1
KAREL,2020,1,7.335242771124794,0.395,1,1,1,1,1
KAREL,2021,1,7.49041772636681,0.395,1,1,1,1,1
KAREL,2022,1,7.593323814018532,0.395,1,1,1,1,1
KAREL,2023,2,7.68634594135955,0.395,1,1,1,1,1
KAREL,2024,2,7.812459141604372,0.395,1,1,1,1,1
LOGO_YAZILIM,2010,0,5.521460917862246,0.38,1,0,0,0,0
LOGO_YAZILIM,2011,0,5.521460917862246,0.38,1,0,0,0,0
LOGO_YAZILIM,2012,0,5.648974238161206,0.38,1,0,0,1,1
LOGO_YAZILIM,2013,0,5.800304041646823,0.38,1,0,0,1,1
LOGO_YAZILIM,2014,0,6.001909804969521,0.38,1,0,0,1,1
LOGO_YAZILIM,2015,0,6.232251533594787,0.38,1,0,0,1,1
LOGO_YAZILIM,2016,0,6.477895014039251,0.38,1,1,1,1,1
LOGO_YAZILIM,2017,0,6.706617807930542,0.38,1,1,1,1,1
LOGO_YAZILIM,2018,0,6.937993462042747,0.38,1,1,1,1,1
LOGO_YAZILIM,2019,0,7.154380954443551,0.38,1,1,1,1,1
LOGO_YAZILIM,2020,0,7.335242771124794,0.38,1,1,1,1,1
LOGO_YAZILIM,2021,0,7.49041772636681,0.38,1,1,1,1,1
LOGO_YAZILIM,2022,0,7.593323814018532,0.38,1,1,1,1,1
LOGO_YAZILIM,2023,0,7.68634594135955,0.38,1,1,1,1,1
LOGO_YAZILIM,2024,0,7.812459141604372,0.38,1,1,1,1,1
MERCEDES_BENZ,2010,0,5.521460917862246,0.365,1,0,0,0,0
MERCEDES_BENZ,2011,0,5.521460917862246,0.365,1,0,0,0,0
MERCEDES_BENZ,2012,0,5.648974238161206,0.365,1,0,0,1,1
MERCEDES_BENZ,2013,0,5.800304041646823,0.365,1,0,0,1,1
MERCEDES_BENZ,2014,2,6.001909804969521,0.365,1,0,0,1,1
MERCEDES_BENZ,2015,1,6.232251533594787,0.365,1,0,0,1,1
MERCEDES_BENZ,2016,8,6.477895014039251,0.365,1,1,1,1,1
MERCEDES_BENZ,2017,2,6.706617807930542,0.365,1,1,1,1,1
MERCEDES_BENZ,2018,19,6.937993462042747,0.365,1,1,1,1,1
MERCEDES_BENZ,2019,86,7.154380954443551,0.365,1,1,1,1,1
MERCEDES_BENZ,2020,176,7.335242771124794,0.365,1,1,1,1,1
MERCEDES_BENZ,2021,139,7.49041772636681,0.365,1,1,1,1,1
MERCEDES_BENZ,2022,180,7.593323814018532,0.365,1,1,1,1,1
MERCEDES_BENZ,2023,59,7.68634594135955,0.365,1,1,1,1,1
MERCEDES_BENZ,2024,50,7.812459141604372,0.365,1,1,1,1,1
BOSCH_TR,2010,4,5.521460917862246,0.355,1,0,0,0,0
BOSCH_TR,2011,10,5.521460917862246,0.355,1,0,0,0,0
BOSCH_TR,2012,4,5.648974238161206,0.355,1,0,0,1,1
BOSCH_TR,2013,1,5.800304041646823,0.355,1,0,0,1,1
BOSCH_TR,2014,3,6.001909804969521,0.355,1,0,0,1,1
BOSCH_TR,2015,21,6.232251533594787,0.355,1,0,0,1,1
BOSCH_TR,2016,23,6.477895014039251,0.355,1,1,1,1,1
