firm_name,publication_number,title,filing_date,filing_year,inventor
BAYKAR,TR2024000969A2,Çoklu ti̇p parça döndürme maki̇nesi̇,2024-01-26,2024,Ltd
BAYKAR,TR201601732A2,Üç Yedekli Uçuş Kontrol Sistemi,2016-02-10,2016,Anonim
STM,TR201809643T4,Hassas konum belirleme yöntemi (INS ve radar altimetre seyrüsefer),2015-12-25,2015,Çak Serkan
STM,TR201000065A2,Yüzey açıklıklarında akış kaynaklı rezonans sönümleyici kabin (Denizaltı akustik sönümleme),2010-01-06,2010,Çevik Fatih
STM,TR201820834A2,Sürü formasyon kontrol sistemi ve yöntemi (Taktik Vurucu İHA Sürü Zekâsı),2018-12-28,2018,STM Ar-Ge Ekibi
STM,TR200910122A2,Dikey rüzgâr tüneli hava değişim menfezi (Aerodinamik test altyapısı),2009-12-31,2009,Çevik Fatih
STM,US10353079B2,Precise positioning method (3D GPS-denied autonomous navigation),2015-12-25,2015,Soysal Gökhan
ROKETSAN,TR201722260A2,Kanat katlama mekanizması.,2017-12-27,2017,A
ROKETSAN,TR202009221A1,Omuzdan atilan mühi̇mmatlarin atici personele olan etki̇si̇ni̇ beli̇rlemeye …,2020-06-15,2020,Anonim
ROKETSAN,TR202008781A2,Bi̇r mi̇nyatür güdümlü füze i̇çi̇n bi̇r kontrol tahri̇k terti̇bati,2020-06-08,2020,Anonim
ROKETSAN,TR202015702A1,Nano boyutta malzemeli yerinde sentezlenen polimetakrilimit (pmı) köpük ve …,2020-10-02,2020,Anonim
ROKETSAN,TR201920968A1,Kani̇ster i̇çi̇ katlanabi̇li̇r füze sabi̇tleme mekani̇zmasi,2019-12-20,2019,Anonim
ROKETSAN,TR202008779A1,Mi̇nyatür lazer güdümlü füze si̇stemleri̇ i̇çi̇n yari akti̇f lazer arayici …,2020-06-08,2020,Anonim
ROKETSAN,TR2022009916A2,Si̇li̇ka/si̇li̇ka serami̇k matri̇sli̇ kompozi̇t malzeme üreti̇mi̇,2022-06-15,2022,Anonim
ROKETSAN,TR201914765A2,Lazer kaynakli bir sualti konum tespi̇t terti̇bati ve metodu,2019-09-27,2019,A
ROKETSAN,TR201910985A2,Kani̇ster kapaği,2019-07-23,2019,A
ROKETSAN,TR202008782A2,Düşük enerji̇li̇ elektroni̇k emni̇yet kurma ve ateşleme si̇stemi̇,2020-06-08,2020,Anonim
ROKETSAN,TR202009215A1,Dağitik sürüler hali̇nde hedefe güdülen mi̇nyatür füze si̇stemi̇,2020-06-15,2020,Anonim
ROKETSAN,TR2021014965A2,Su alti si̇stemleri̇ i̇çi̇n çeki̇li̇ haberleşme ve gözlem araci,2021-09-24,2021,Anonim
ROKETSAN,TR202100234A1,Bi̇r göbekbaği konektörü çekme mekani̇zmasi,2021-01-08,2021,Anonim
ROKETSAN,TR202019076A2,Çoklu bakış açıları,2020-11-26,2020,Anonim
ROKETSAN,TR2023006339A1,Dönülü mühi̇mmatlar i̇çi̇n yuvarlanma açisi kesti̇ri̇mi̇ yapabi̇len kizilötesi̇ …,2023-05-31,2023,Anoni̇m
ROKETSAN,TR2023006127A1,Erişim Kısıtı Bulunan Kanister ? Platform Arayüz Bağlantıları İçin Cıvatalı Bir …,2023-05-29,2023,Anoni̇m
