defense_firm,civil_sector,year,cites,rd_lag2,log_rd_lag2,jaffe_prox,rd_x_jaffe,log_civ_stock,log_cites_p1
ASELSAN,Otomotiv,2010,2,83.08749999999999,4.4198942693677,0.332,1.4674048974300764,7.00669522683704,1.0986122886681098
ASELSAN,Otomotiv,2011,3,97.75,4.582413198865475,0.332,1.5213611820233377,7.00669522683704,1.3862943611198906
ASELSAN,Otomotiv,2012,2,115.0,4.74493212836325,0.332,1.5753174666165992,7.00669522683704,1.0986122886681098
ASELSAN,Otomotiv,2013,1,130.0,4.867534450455582,0.332,1.6160214375512534,7.00669522683704,0.6931471805599453
ASELSAN,Otomotiv,2014,1,155.0,5.043425116919247,0.332,1.67441713881719,7.00669522683704,0.6931471805599453
ASELSAN,Otomotiv,2015,1,185.0,5.220355825078324,0.332,1.7331581339260038,7.00669522683704,0.6931471805599453
ASELSAN,Otomotiv,2016,4,220.0,5.393627546352362,0.332,1.7906843453889842,7.00669522683704,1.6094379124341003
ASELSAN,Otomotiv,2017,3,265.0,5.579729825986222,0.332,1.8524703022274258,7.00669522683704,1.3862943611198906
ASELSAN,Otomotiv,2018,8,310.0,5.736572297479192,0.332,1.904542002763092,7.00669522683704,2.1972245773362196
ASELSAN,Otomotiv,2019,4,360.0,5.886104031450156,0.332,1.9541865384414518,7.00669522683704,1.6094379124341003
ASELSAN,Otomotiv,2020,9,415.0,6.028278520230698,0.332,2.0013884687165917,7.00669522683704,2.302585092994046
ASELSAN,Otomotiv,2021,5,470.0,6.152732694704104,0.332,2.042707254641763,7.00669522683704,1.791759469228055
ASELSAN,Otomotiv,2022,15,510.0,6.234410725718371,0.332,2.069824360938499,7.00669522683704,2.772588722239781
ASELSAN,Otomotiv,2023,17,545.0,6.300785794663244,0.332,2.091860883828197,7.00669522683704,2.8903717578961645
ASELSAN,Otomotiv,2024,12,590.0,6.380122536899765,0.332,2.118200682250722,7.00669522683704,2.5649493574615367
ASELSAN,Telekomunikasyon,2010,2,83.08749999999999,4.4198942693677,0.476,2.103869672219025,9.020026965252676,1.0986122886681098
ASELSAN,Telekomunikasyon,2011,11,97.75,4.582413198865475,0.476,2.181228682659966,9.020026965252676,2.4849066497880004
ASELSAN,Telekomunikasyon,2012,8,115.0,4.74493212836325,0.476,2.258587693100907,9.020026965252676,2.1972245773362196
ASELSAN,Telekomunikasyon,2013,7,130.0,4.867534450455582,0.476,2.316946398416857,9.020026965252676,2.0794415416798357
ASELSAN,Telekomunikasyon,2014,17,155.0,5.043425116919247,0.476,2.4006703556535616,9.020026965252676,2.8903717578961645
ASELSAN,Telekomunikasyon,2015,10,185.0,5.220355825078324,0.476,2.4848893727372823,9.020026965252676,2.3978952727983707
ASELSAN,Telekomunikasyon,2016,5,220.0,5.393627546352362,0.476,2.5673667120637242,9.020026965252676,1.791759469228055
ASELSAN,Telekomunikasyon,2017,20,265.0,5.579729825986222,0.476,2.6559513971694417,9.020026965252676,3.044522437723423
ASELSAN,Telekomunikasyon,2018,19,310.0,5.736572297479192,0.476,2.730608413600095,9.020026965252676,2.995732273553991
ASELSAN,Telekomunikasyon,2019,32,360.0,5.886104031450156,0.476,2.801785518970274,9.020026965252676,3.4965075614664802
ASELSAN,Telekomunikasyon,2020,40,415.0,6.028278520230698,0.476,2.869460575629812,9.020026965252676,3.713572066704308
ASELSAN,Telekomunikasyon,2021,61,470.0,6.152732694704104,0.476,2.9287007626791537,9.020026965252676,4.127134385045092
ASELSAN,Telekomunikasyon,2022,35,510.0,6.234410725718371,0.476,2.9675795054419445,9.020026965252676,3.58351893845611
ASELSAN,Telekomunikasyon,2023,36,545.0,6.300785794663244,0.476,2.999174038259704,9.020026965252676,3.6109179126442243
ASELSAN,Telekomunikasyon,2024,32,590.0,6.380122536899765,0.476,3.036938327564288,9.020026965252676,3.4965075614664802
ASELSAN,Tuketici_Elektronigi,2010,2,83.08749999999999,4.4198942693677,0.1,0.44198942693677,8.172729104865471,1.0986122886681098
ASELSAN,Tuketici_Elektronigi,2011,3,97.75,4.582413198865475,0.1,0.45824131988654754,8.172729104865471,1.3862943611198906
ASELSAN,Tuketici_Elektronigi,2012,2,115.0,4.74493212836325,0.1,0.47449321283632506,8.172729104865471,1.0986122886681098
ASELSAN,Tuketici_Elektronigi,2013,2,130.0,4.867534450455582,0.1,0.48675344504555823,8.172729104865471,1.0986122886681098
ASELSAN,Tuketici_Elektronigi,2014,2,155.0,5.043425116919247,0.1,0.5043425116919247,8.172729104865471,1.0986122886681098
ASELSAN,Tuketici_Elektronigi,2015,0,185.0,5.220355825078324,0.1,0.5220355825078324,8.172729104865471,0.0
ASELSAN,Tuketici_Elektronigi,2016,3,220.0,5.393627546352362,0.1,0.5393627546352362,8.172729104865471,1.3862943611198906
ASELSAN,Tuketici_Elektronigi,2017,2,265.0,5.579729825986222,0.1,0.5579729825986223,8.172729104865471,1.0986122886681098
ASELSAN,Tuketici_Elektronigi,2018,6,310.0,5.736572297479192,0.1,0.5736572297479192,8.172729104865471,1.9459101490553132
ASELSAN,Tuketici_Elektronigi,2019,5,360.0,5.886104031450156,0.1,0.5886104031450156,8.172729104865471,1.791759469228055
ASELSAN,Tuketici_Elektronigi,2020,5,415.0,6.028278520230698,0.1,0.6028278520230699,8.172729104865471,1.791759469228055
ASELSAN,Tuketici_Elektronigi,2021,4,470.0,6.152732694704104,0.1,0.6152732694704105,8.172729104865471,1.6094379124341003
ASELSAN,Tuketici_Elektronigi,2022,16,510.0,6.234410725718371,0.1,0.6234410725718371,8.172729104865471,2.833213344056216
ASELSAN,Tuketici_Elektronigi,2023,2,545.0,6.300785794663244,0.1,0.6300785794663244,8.172729104865471,1.0986122886681098
ASELSAN,Tuketici_Elektronigi,2024,0,590.0,6.380122536899765,0.1,0.6380122536899765,8.172729104865471,0.0
ASELSAN,Yazilim_Bilisim,2010,2,83.08749999999999,4.4198942693677,0.285,1.2596698667697943,7.52294091807237,1.0986122886681098
ASELSAN,Yazilim_Bilisim,2011,3,97.75,4.582413198865475,0.285,1.3059877616766602,7.52294091807237,1.3862943611198906
ASELSAN,Yazilim_Bilisim,2012,6,115.0,4.74493212836325,0.285,1.352305656583526,7.52294091807237,1.9459101490553132
ASELSAN,Yazilim_Bilisim,2013,4,130.0,4.867534450455582,0.285,1.3872473183798408,7.52294091807237,1.6094379124341003
ASELSAN,Yazilim_Bilisim,2014,4,155.0,5.043425116919247,0.285,1.4373761583219853,7.52294091807237,1.6094379124341003
ASELSAN,Yazilim_Bilisim,2015,10,185.0,5.220355825078324,0.285,1.4878014101473223,7.52294091807237,2.3978952727983707
ASELSAN,Yazilim_Bilisim,2016,2,220.0,5.393627546352362,0.285,1.537183850710423,7.52294091807237,1.0986122886681098
ASELSAN,Yazilim_Bilisim,2017,4,265.0,5.579729825986222,0.285,1.5902230004060731,7.52294091807237,1.6094379124341003
ASELSAN,Yazilim_Bilisim,2018,17,310.0,5.736572297479192,0.285,1.6349231047815695,7.52294091807237,2.8903717578961645
ASELSAN,Yazilim_Bilisim,2019,19,360.0,5.886104031450156,0.285,1.6775396489632943,7.52294091807237,2.995732273553991
ASELSAN,Yazilim_Bilisim,2020,0,415.0,6.028278520230698,0.285,1.7180593782657487,7.52294091807237,0.0
ASELSAN,Yazilim_Bilisim,2021,11,470.0,6.152732694704104,0.285,1.7535288179906696,7.52294091807237,2.4849066497880004
ASELSAN,Yazilim_Bilisim,2022,3,510.0,6.234410725718371,0.285,1.7768070568297356,7.52294091807237,1.3862943611198906
ASELSAN,Yazilim_Bilisim,2023,18,545.0,6.300785794663244,0.285,1.7957239514790244,7.52294091807237,2.9444389791664403
ASELSAN,Yazilim_Bilisim,2024,11,590.0,6.380122536899765,0.285,1.8183349230164327,7.52294091807237,2.4849066497880004
ASELSAN,Ileri_Malzeme_Kimya,2010,1,83.08749999999999,4.4198942693677,0.05,0.220994713468385,6.824373670043086,0.6931471805599453
ASELSAN,Ileri_Malzeme_Kimya,2011,1,97.75,4.582413198865475,0.05,0.22912065994327377,6.824373670043086,0.6931471805599453
ASELSAN,Ileri_Malzeme_Kimya,2012,0,115.0,4.74493212836325,0.05,0.23724660641816253,6.824373670043086,0.0
ASELSAN,Ileri_Malzeme_Kimya,2013,1,130.0,4.867534450455582,0.05,0.24337672252277912,6.824373670043086,0.6931471805599453
ASELSAN,Ileri_Malzeme_Kimya,2014,2,155.0,5.043425116919247,0.05,0.25217125584596234,6.824373670043086,1.0986122886681098
ASELSAN,Ileri_Malzeme_Kimya,2015,1,185.0,5.220355825078324,0.05,0.2610177912539162,6.824373670043086,0.6931471805599453
ASELSAN,Ileri_Malzeme_Kimya,2016,1,220.0,5.393627546352362,0.05,0.2696813773176181,6.824373670043086,0.6931471805599453
ASELSAN,Ileri_Malzeme_Kimya,2017,3,265.0,5.579729825986222,0.05,0.27898649129931113,6.824373670043086,1.3862943611198906
